Scenario_ID,User_Statement,Counselor_Response,Mental_Health_Issue,Explanation
11,"""I've been feeling numb and disconnected from my emotions. It's like I'm watching my life from the outside.""","""Feeling disconnected from your emotions can be very isolating. It's important to explore what might be causing this sense of detachment. Have you experienced any significant life changes or stressors? Talking to a therapist can help you understand and process these feelings.""",Depersonalization/Derealization,"The user describes symptoms of depersonalization or derealization, feeling disconnected from oneself or one's surroundings. The counselor encourages the user to explore potential causes and seek professional support."
12,"""I've been having intrusive thoughts about harming others, and I'm terrified of acting on them.""","""Having these thoughts is extremely distressing, and it's important to seek professional help immediately. There are treatment options available that can help you manage these thoughts and prevent harm. Please reach out to a crisis hotline or mental health professional.""",Obsessive-Compulsive Disorder (OCD),"The user describes intrusive thoughts about harming others, which can be a symptom of OCD. The counselor emphasizes the importance of seeking immediate professional help."
13,"""I'm constantly worried about the worst-case scenario. I can't stop thinking about what could go wrong.""","""Excessive worry and anxiety can be overwhelming. It's important to challenge these thoughts and develop coping strategies. Have you tried relaxation techniques or mindfulness practices? Talking to a therapist can also help you manage your anxiety.""",Generalized Anxiety Disorder (GAD),"The user describes symptoms of generalized anxiety disorder, characterized by excessive worry about various situations. The counselor suggests coping mechanisms and encourages the user to seek professional support."
14,"""I've been using substances to cope with my problems, but it's starting to take over my life.""","""Substance abuse can be a way to self-medicate, but it's important to find healthier coping mechanisms. There are treatment options available to help you reduce your reliance on substances and address the underlying issues. Have you considered reaching out to a substance abuse treatment program?""",Substance Abuse,The user acknowledges that substance use is becoming a problem and is seeking help. The counselor encourages the user to seek professional treatment for substance abuse.
15,"""I've lost interest in sex and have difficulty experiencing pleasure.""","Changes in libido and difficulty experiencing pleasure can be related to various factors, including hormonal changes, medication side effects, or underlying mental health conditions. It's important to talk to your doctor to rule out any physical causes and to consider seeking therapy to address potential emotional or psychological factors.",Sexual Dysfunction,The user describes changes in sexual desire and function. The counselor suggests consulting with a doctor to rule out physical causes and encourages the user to seek therapy for potential emotional or psychological factors.
16,"""I've been hearing voices that tell me to hurt myself or others.""",Hearing voices can be a very frightening experience. It's important to seek professional help immediately. There are treatments available that can help manage these symptoms and keep you safe. Please contact a crisis hotline or mental health professional right away.,Psychosis,"The user describes auditory hallucinations, a symptom of psychosis. The counselor emphasizes the importance of immediate professional help."
17,"""I've been avoiding social situations because I'm afraid of being embarrassed or humiliated.""","Social anxiety can be very isolating. It's okay to feel nervous in social situations, but it shouldn't prevent you from living your life. There are effective treatments available to help manage social anxiety. Have you considered trying cognitive-behavioral therapy or exposure therapy?",Social Anxiety Disorder,"The user describes symptoms of social anxiety, avoiding social situations due to fear of embarrassment. The counselor offers reassurance and suggests potential treatment options."
18,"""I've been feeling a sense of emptiness and lack of purpose in life.""",Feeling a sense of emptiness can be very challenging. It's important to explore what might be contributing to these feelings. Have you considered talking to a therapist to help you find meaning and purpose in your life?,Existential Crisis,"The user describes a sense of emptiness and lack of purpose, which can be associated with an existential crisis. The counselor encourages the user to seek professional support to explore these feelings."
19,"""I've been having difficulty concentrating and making decisions. I feel like my brain is foggy.""","Difficulty concentrating and making decisions can be a symptom of several mental health conditions, including depression, anxiety, or ADHD. It's important to talk to your doctor to rule out any physical causes and to consider seeking therapy to address potential emotional or psychological factors.",Cognitive Difficulties,"The user describes difficulties with concentration and decision-making, which can be associated with various mental health conditions. The counselor suggests consulting with a doctor and seeking therapy."
20,"""I've been experiencing rapid mood swings, from feeling extremely happy to feeling very low.""",Rapid mood swings can be a symptom of bipolar disorder or other mood disorders. It's important to seek professional evaluation to determine the underlying cause and develop an appropriate treatment plan.,Bipolar Disorder,"The user describes rapid mood swings, which are characteristic of bipolar disorder. The counselor encourages the user to seek professional evaluation for diagnosis and treatment."
21,"""I've been feeling physically sick, but doctors can't find anything wrong with me. I think it's all in my head.""",Physical symptoms without a clear medical cause can sometimes be related to stress or anxiety. It's important to explore the emotional and psychological factors that might be contributing to your physical discomfort. Have you considered talking to a therapist to address these concerns?,Somatic Symptom Disorder,"The user describes physical symptoms without a medical explanation, which may indicate a somatic symptom disorder. The counselor suggests exploring psychological factors and seeking therapy."
22,"""I've been having trouble focusing at work and school. I feel restless and can't sit still.""",Difficulty concentrating and feeling restless can be symptoms of ADHD or other conditions. It's important to evaluate these symptoms further to determine the underlying cause. Have you considered talking to a mental health professional to assess your symptoms?,Attention Deficit Hyperactivity Disorder (ADHD),"The user describes symptoms of difficulty concentrating and restlessness, which may be indicative of ADHD. The counselor suggests a professional evaluation to determine the underlying cause."
23,"""I've been feeling disconnected from reality and having difficulty distinguishing between what's real and what's not.""",Experiencing a disconnect from reality can be a symptom of psychosis or other mental health conditions. It's important to seek professional help immediately to assess the situation and develop a treatment plan.,Psychosis,"The user describes symptoms of psychosis, including difficulty distinguishing between reality and fantasy. The counselor emphasizes the importance of immediate professional help."
24,"""I've been engaging in risky behaviors, like reckless driving or substance abuse, to try to feel something.""",Engaging in risky behaviors can be a way to cope with underlying emotional pain or distress. It's important to find healthier ways to manage your emotions. Have you considered talking to a therapist to explore your feelings and develop coping strategies?,Substance Abuse/Risk-Taking Behaviors,The user describes engaging in risky behaviors as a coping mechanism. The counselor suggests seeking therapy to address underlying emotional issues and develop healthier coping strategies.
25,"""I've been having trouble forming deep connections with people. I feel like I'm always putting up a wall.""",Difficulty forming deep connections can be related to attachment styles or past experiences. It's important to explore these factors to understand the root of your challenges. Have you considered talking to a therapist to develop strategies for building healthier relationships?,Difficulty Forming Relationships,"The user describes difficulty forming deep connections, which may be related to attachment styles or past experiences. The counselor suggests exploring these factors and seeking therapy."
26,"""I've been experiencing changes in my appetite and weight, and I have no motivation to do anything.""","Changes in appetite and weight, along with a lack of motivation, can be symptoms of depression or other mental health conditions. It's important to talk to a healthcare professional to rule out any physical causes and to consider seeking therapy.",Depression/Eating Disorders,"The user describes changes in appetite, weight, and motivation, which may be related to depression or eating disorders. The counselor suggests consulting a healthcare professional and seeking therapy."
27,"""I've been feeling like a burden to my loved ones, and I don't deserve their support.""",Feeling like a burden is a common experience for people struggling with mental health challenges. It's important to remember that your loved ones care about you and want to help. Have you considered joining a support group to connect with others who understand what you're going through?,Low Self-Esteem/Guilt,"The user expresses feelings of being a burden and undeserving of support, indicating low self-esteem and guilt. The counselor offers reassurance and suggests joining a support group."
28,"""I've been engaging in self-harm to cope with my emotions.""","Self-harm is a way to cope with overwhelming emotions, but it's important to find healthier alternatives. It's crucial to seek professional help to address the underlying issues and develop coping strategies. There are crisis hotlines available if you need immediate support.",Self-Harm,"The user discloses engaging in self-harm, indicating a need for immediate professional help. The counselor provides information about crisis hotlines and encourages seeking therapy."
29,"""I've been experiencing physical symptoms like headaches and stomach aches, but doctors can't find a physical cause.""",Physical symptoms without a clear medical explanation can sometimes be related to stress or anxiety. Have you considered trying relaxation techniques or mindfulness to manage stress? It might help alleviate your physical symptoms.,Somatic Symptom Disorder,"The user describes physical symptoms without a medical explanation, which may be related to stress or anxiety. The counselor suggests relaxation techniques and mindfulness for stress management."
30,"""I've been having intrusive thoughts about harming myself or others, and I can't control them.""","Having intrusive thoughts is distressing, but it's important to know that thinking about something doesn't mean you'll do it. It's crucial to seek professional help to develop strategies for managing these thoughts. There are crisis hotlines available if you need immediate support.",Obsessive-Compulsive Disorder (OCD),"The user describes intrusive thoughts, which can be a symptom of OCD. The counselor emphasizes the importance of seeking professional help and provides crisis resources."
31,"""I've been feeling disconnected from my body, like it's not really mine.""",Feeling disconnected from your body can be a distressing experience. It's important to explore what might be causing this sensation. Have you considered talking to a therapist to understand these feelings better?,Depersonalization/Derealization,"The user describes feeling disconnected from their body, which is a symptom of depersonalization. The counselor suggests exploring the underlying causes and seeking therapy."
32,"""I've been experiencing extreme mood swings, from euphoria to deep depression, in short periods of time.""",Rapid mood swings can be a sign of bipolar disorder. It's important to seek professional evaluation to determine the underlying cause and develop a treatment plan.,Bipolar Disorder,"The user describes rapid mood swings, characteristic of bipolar disorder. The counselor encourages the user to seek professional evaluation for diagnosis and treatment."
33,"""I've been avoiding social situations because I fear being judged or rejected.""",Social anxiety can make it difficult to engage in social interactions. It's important to challenge these negative thoughts and build social skills gradually. Have you considered joining a support group for social anxiety?,Social Anxiety Disorder,"The user describes avoiding social situations due to fear of judgment, which is characteristic of social anxiety disorder. The counselor suggests challenging negative thoughts and joining a support group."
34,"""I've been experiencing a loss of interest in activities I used to enjoy, and I feel like I'm just going through the motions.""",A loss of interest in activities can be a symptom of depression. It's important to talk to someone about how you're feeling. Have you considered talking to a therapist to explore your symptoms and develop a treatment plan?,Depression,"The user describes a loss of interest in activities, a symptom of depression. The counselor encourages the user to seek professional help."
35,"""I've been having trouble concentrating and staying focused on tasks. My mind keeps wandering.""","Difficulty concentrating can be frustrating. It might be helpful to explore potential causes, such as stress, anxiety, or sleep disturbances. Have you considered trying techniques like mindfulness or time management strategies?",Difficulty Concentrating,"The user describes difficulty concentrating, which can be related to various factors. The counselor suggests exploring potential causes and trying mindfulness or time management techniques."
36,"""I've been feeling overwhelmed by responsibilities and have no energy to do anything.""","Feeling overwhelmed can be draining. It's important to break down tasks into smaller, manageable steps and prioritize self-care. Have you considered talking to someone about how you're feeling, such as a friend, family member, or therapist?",Overwhelm/Burnout,"The user describes feeling overwhelmed and lacking energy, which may indicate burnout. The counselor suggests breaking down tasks and prioritizing self-care."
37,"""I've been experiencing physical symptoms like headaches and fatigue, but doctors can't find a physical cause.""",Physical symptoms without a clear medical explanation can sometimes be related to stress or anxiety. It's important to explore emotional factors that might be contributing to your discomfort. Have you considered trying relaxation techniques or mindfulness to manage stress?,Somatic Symptom Disorder,"The user describes physical symptoms without a medical explanation, which may be related to stress or anxiety. The counselor suggests exploring emotional factors and trying relaxation techniques."
38,"""I've been isolating myself from friends and family, and I'm losing interest in activities I used to enjoy.""",Withdrawing from social interactions and losing interest in activities can be signs of depression. It's important to reach out for support and connection. Have you considered talking to a therapist to explore your feelings and develop coping strategies?,Depression/Social Isolation,"The user describes social isolation and loss of interest in activities, which may be symptoms of depression. The counselor encourages the user to seek support and consider therapy."
39,"""I've been having recurring thoughts about past mistakes, and I can't seem to let go.""",Ruminating about past mistakes can be overwhelming. It's important to focus on the present and develop strategies for managing these thoughts. Have you considered trying mindfulness or cognitive-behavioral therapy to challenge these negative thought patterns?,Rumination,"The user describes ruminating about past mistakes, which can be a negative thought pattern. The counselor suggests mindfulness and cognitive-behavioral therapy to manage these thoughts."
40,"""I've been having difficulty making decisions, even about small things. I feel paralyzed by indecision.""",Feeling indecisive can be overwhelming. It's important to break down decisions into smaller steps and weigh the pros and cons. Have you considered talking to a trusted friend or family member for perspective?,Decision-Making Difficulties,"The user describes difficulty making decisions, which can be related to anxiety or other factors. The counselor suggests breaking down decisions and seeking support."
41,"""I've been experiencing changes in my sleep patterns, either sleeping too much or too little.""",Changes in sleep patterns can be a symptom of various mental health conditions. It's important to establish a consistent sleep routine and create a relaxing bedtime environment. Have you considered talking to a healthcare professional to rule out any underlying physical causes?,Sleep Disturbances,"The user describes changes in sleep patterns, which can be related to various mental health conditions or physical factors. The counselor suggests establishing a sleep routine and consulting a healthcare professional."
42,"""I've been feeling a sense of detachment from my body and surroundings, like I'm observing myself from outside.""",Feeling disconnected from your body or surroundings can be a distressing experience. It's important to ground yourself in the present moment and seek professional help to understand these feelings.,Depersonalization/Derealization,"The user describes feelings of detachment from their body and surroundings, which are symptoms of depersonalization/derealization. The counselor suggests grounding techniques and seeking professional help."
43,"""I've been experiencing panic attacks, with symptoms like rapid heart rate, sweating, and shortness of breath.""","Panic attacks can be overwhelming, but they are treatable. It's important to learn coping mechanisms and relaxation techniques to manage these symptoms. Have you considered talking to a therapist to develop a treatment plan?",Panic Disorder,"The user describes symptoms of a panic attack, which can be a sign of panic disorder. The counselor suggests learning coping mechanisms and seeking therapy."
44,"""I've been feeling a sense of emptiness and lack of purpose in life, despite having achievements.""","Feeling a sense of emptiness can be challenging, even with accomplishments. It's important to explore your values and find meaning in your life. Have you considered trying new activities or volunteering to discover new passions?",Existential Crisis,"The user describes a sense of emptiness despite achievements, which may indicate an existential crisis. The counselor suggests exploring personal values and trying new activities."
45,"""I've been having difficulty regulating my emotions, and I often feel overwhelmed by anger or sadness.""",Emotional regulation can be challenging. It's important to identify triggers and develop healthy coping mechanisms. Have you considered trying mindfulness or deep breathing exercises to manage your emotions?,Emotional Regulation Difficulties,"The user describes difficulty regulating emotions, which can be addressed through coping mechanisms and mindfulness."
46,"""I've been avoiding social situations because I fear being judged or rejected. I feel like I don't fit in anywhere.""",Feeling like you don't fit in can be isolating. It's important to build self-confidence and develop social skills gradually. Have you considered joining a social group or hobby group to meet like-minded people?,Social Anxiety/Loneliness,"The user describes social anxiety and feelings of isolation, which can be addressed through building self-confidence and social connections."
47,"""I've been experiencing changes in my appetite and sleep patterns, and I have no interest in activities I used to enjoy.""","Changes in appetite, sleep, and interest can be symptoms of depression. It's important to talk to someone about how you're feeling. Have you considered talking to a therapist to explore your symptoms and develop a treatment plan?",Depression,"The user describes symptoms of depression, including changes in appetite, sleep, and interest. The counselor encourages the user to seek professional help."
48,"""I've been having intrusive thoughts about harming myself, and I'm afraid of acting on them.""","Having intrusive thoughts is distressing, but it doesn't mean you'll harm yourself. It's important to seek professional help to develop coping strategies. There are crisis hotlines available if you need immediate support.",Obsessive-Compulsive Disorder (OCD),"The user describes intrusive thoughts, which can be a symptom of OCD. The counselor emphasizes the importance of seeking professional help and provides crisis resources."
49,"""I've been feeling a sense of emptiness and lack of purpose in life, despite having a successful career.""",Feeling a sense of emptiness can occur even with achievements. It's important to explore your values and find meaning in your life. Have you considered volunteering or pursuing hobbies to find fulfillment?,Existential Crisis,"The user describes a sense of emptiness despite career success, which may indicate an existential crisis. The counselor suggests exploring personal values and trying new activities."
50,"""I've been having recurring nightmares and flashbacks to a traumatic event.""",Nightmares and flashbacks can be symptoms of PTSD. It's important to seek professional help to process the trauma and develop coping strategies. Have you considered talking to a therapist specializing in trauma?,Post-Traumatic Stress Disorder (PTSD),"The user describes symptoms of PTSD, including nightmares and flashbacks. The counselor suggests seeking specialized therapy."
51,"""I've been feeling a loss of interest in sex and difficulty experiencing pleasure.""","Changes in libido can be influenced by various factors, including stress, relationship issues, or medical conditions. It's important to explore these possibilities with a healthcare provider or therapist.",Sexual Dysfunction,"The user describes changes in libido and sexual pleasure, which can be related to various factors. The counselor suggests exploring these factors with a healthcare provider or therapist."
52,"""I've been engaging in excessive shopping or spending to cope with stress.""","Excessive spending can be a way to manage stress, but it's important to find healthier coping mechanisms. Have you considered setting a budget or talking to a financial advisor?",Compulsive Buying,"The user describes excessive spending as a coping mechanism, indicating potential compulsive buying behavior. The counselor suggests setting a budget and seeking financial advice."
53,"""I've been feeling a sense of detachment from my emotions and like I'm observing my life from a distance.""",Feeling disconnected from emotions can be distressing. It's important to explore what might be causing this sense of detachment. Have you considered mindfulness practices to reconnect with your body and emotions?,Depersonalization/Derealization,"The user describes feelings of detachment, which are symptoms of depersonalization. The counselor suggests mindfulness practices to reconnect with the body and emotions."
54,"""I've been experiencing physical symptoms like headaches and fatigue, but doctors can't find a physical cause.""",Physical symptoms without a medical explanation can sometimes be related to stress or anxiety. Have you considered trying relaxation techniques or mindfulness to manage stress?,Somatic Symptom Disorder,"The user describes physical symptoms without a medical explanation, which may be related to stress or anxiety. The counselor suggests relaxation techniques and mindfulness."
55,"""I've been isolating myself from friends and family, and I'm losing interest in activities I used to enjoy.""",Withdrawing from social interactions and losing interest in activities can be signs of depression. It's important to reach out for support and connection. Have you considered talking to a therapist to explore your feelings and develop coping strategies?,Depression/Social Isolation,"The user describes social isolation and loss of interest in activities, which may be symptoms of depression. The counselor encourages the user to seek support and consider therapy."
56,"""I've been having difficulty concentrating and staying focused on tasks. My mind keeps wandering.""","Difficulty concentrating can be frustrating. It might be helpful to explore potential causes, such as stress, anxiety, or sleep disturbances. Have you considered trying techniques like mindfulness or time management strategies?",Difficulty Concentrating,"The user describes difficulty concentrating, which can be related to various factors. The counselor suggests exploring potential causes and trying mindfulness or time management strategies."
57,"""I've been feeling overwhelmed by responsibilities and have no energy to do anything.""","Feeling overwhelmed can be draining. It's important to break down tasks into smaller, manageable steps and prioritize self-care. Have you considered talking to someone about how you're feeling, such as a friend, family member, or therapist?",Overwhelm/Burnout,"The user describes feeling overwhelmed and lacking energy, which may indicate burnout. The counselor suggests breaking down tasks and prioritizing self-care."
58,"""I've been experiencing physical symptoms like headaches and fatigue, but doctors can't find a physical cause.""",Physical symptoms without a clear medical explanation can sometimes be related to stress or anxiety. Have you considered trying relaxation techniques or mindfulness to manage stress?,Somatic Symptom Disorder,"The user describes physical symptoms without a medical explanation, which may be related to stress or anxiety. The counselor suggests relaxation techniques and mindfulness."
59,"""I've been feeling a sense of emptiness and lack of purpose in life, despite having achievements.""",Feeling a sense of emptiness can occur even with accomplishments. It's important to explore your values and find meaning in your life. Have you considered volunteering or pursuing hobbies to find fulfillment?,Existential Crisis,"The user describes a sense of emptiness despite career success, which may indicate an existential crisis. The counselor suggests exploring personal values and trying new activities."
60,"""I've been experiencing rapid mood swings, from feeling extremely happy to feeling very low.""",Rapid mood swings can be a sign of bipolar disorder or other mood disorders. It's important to seek professional evaluation to determine the underlying cause and develop a treatment plan.,Bipolar Disorder,"The user describes rapid mood swings, characteristic of bipolar disorder. The counselor encourages the user to seek professional evaluation for diagnosis and treatment."
61,"""I've been having trouble sleeping and waking up feeling exhausted.""",Sleep disturbances can impact overall well-being. It's important to establish a consistent sleep routine and create a relaxing bedtime environment. Have you considered talking to a healthcare professional to rule out any underlying physical causes?,Sleep Disturbances,"The user describes sleep disturbances, which can be related to various factors. The counselor suggests establishing a sleep routine and consulting a healthcare professional."
62,"""I've been feeling a sense of detachment from my emotions and like I'm observing my life from a distance.""",Feeling disconnected from emotions can be distressing. It's important to explore what might be causing this sense of detachment. Have you considered mindfulness practices to reconnect with your body and emotions?,Depersonalization/Derealization,"The user describes feelings of detachment, which are symptoms of depersonalization. The counselor suggests mindfulness practices to reconnect with the body and emotions."
63,"""I've been engaging in excessive exercise to the point of neglecting other areas of my life.""","Excessive exercise can be a way to cope with stress or anxiety, but it's important to find balance. Have you considered talking to a therapist to explore healthier coping mechanisms?",Exercise Addiction,"The user describes excessive exercise, which may indicate exercise addiction. The counselor suggests finding healthier coping mechanisms and seeking therapy."
64,"""I've been feeling a loss of interest in activities I used to enjoy, and I feel like I'm just going through the motions.""",A loss of interest in activities can be a symptom of depression. It's important to talk to someone about how you're feeling. Have you considered talking to a therapist to explore your symptoms and develop a treatment plan?,Depression,"The user describes a loss of interest in activities, a symptom of depression. The counselor encourages the user to seek professional help."
65,"""I've been experiencing intrusive thoughts about harming myself or others, and I can't control them.""","Having intrusive thoughts is distressing, but it's important to know that thinking about something doesn't mean you'll do it. It's crucial to seek professional help to develop coping strategies. There are crisis hotlines available if you need immediate support.",Obsessive-Compulsive Disorder (OCD),"The user describes intrusive thoughts, which can be a symptom of OCD. The counselor emphasizes the importance of seeking professional help and provides crisis resources."
66,"""I've been feeling a loss of interest in sex and difficulty experiencing pleasure.""","Changes in libido can be influenced by various factors, including stress, relationship issues, or medical conditions. It's important to explore these possibilities with a healthcare provider or therapist.",Sexual Dysfunction,"The user describes changes in libido and sexual pleasure, which can be related to various factors. The counselor suggests exploring these factors with a healthcare provider or therapist."
67,"""I've been engaging in excessive shopping or spending to cope with stress.""","Excessive spending can be a way to manage stress, but it's important to find healthier coping mechanisms. Have you considered setting a budget or talking to a financial advisor?",Compulsive Buying,"The user describes excessive spending as a coping mechanism, indicating potential compulsive buying behavior. The counselor suggests setting a budget and seeking financial advice."
68,"""I've been feeling a sense of detachment from my emotions and like I'm observing my life from a distance.""",Feeling disconnected from emotions can be distressing. It's important to explore what might be causing this sense of detachment. Have you considered mindfulness practices to reconnect with your body and emotions?,Depersonalization/Derealization,"The user describes feelings of detachment, which are symptoms of depersonalization. The counselor suggests mindfulness practices to reconnect with the body and emotions."
69,"""I've been experiencing physical symptoms like headaches and fatigue, but doctors can't find a physical cause.""",Physical symptoms without a clear medical explanation can sometimes be related to stress or anxiety. Have you considered trying relaxation techniques or mindfulness to manage stress?,Somatic Symptom Disorder,"The user describes physical symptoms without a medical explanation, which may be related to stress or anxiety. The counselor suggests relaxation techniques and mindfulness."
70,"""I've been feeling overwhelmed by constant worries and what-if scenarios.""",Excessive worry can be exhausting. It's important to challenge these thoughts and develop coping strategies. Have you considered trying mindfulness or relaxation techniques to manage anxiety?,Generalized Anxiety Disorder (GAD),"The user describes excessive worry, a symptom of GAD. The counselor suggests mindfulness and relaxation techniques to manage anxiety."
71,"""I've been having difficulty concentrating and making decisions. I feel like my mind is foggy.""","Difficulty concentrating can be frustrating. It might be helpful to explore potential causes, such as stress, anxiety, or sleep disturbances. Have you considered trying techniques like mindfulness or time management strategies?",Difficulty Concentrating,"The user describes difficulty concentrating, which can be related to various factors. The counselor suggests exploring potential causes and trying mindfulness or time management strategies."
72,"""I've been isolating myself from friends and family, and I'm losing interest in activities I used to enjoy.""",Withdrawing from social interactions and losing interest in activities can be signs of depression. It's important to reach out for support and connection. Have you considered talking to a therapist to explore your feelings and develop coping strategies?,Depression/Social Isolation,"The user describes social isolation and loss of interest in activities, which may be symptoms of depression. The counselor encourages the user to seek support and consider therapy."
73,"""I've been experiencing changes in my appetite and sleep patterns, and I have no interest in activities I used to enjoy.""","Changes in appetite, sleep, and interest can be symptoms of depression. It's important to talk to someone about how you're feeling. Have you considered talking to a therapist to explore your symptoms and develop a treatment plan?",Depression,"The user describes symptoms of depression, including changes in appetite, sleep, and interest. The counselor encourages the user to seek professional help."
74,"""I've been feeling a sense of emptiness and lack of purpose in life, despite having achievements.""",Feeling a sense of emptiness can occur even with accomplishments. It's important to explore your values and find meaning in your life. Have you considered volunteering or pursuing hobbies to find fulfillment?,Existential Crisis,"The user describes a sense of emptiness despite career success, which may indicate an existential crisis. The counselor suggests exploring personal values and trying new activities."
75,"""I've been feeling a sense of dread and impending doom, like something bad is going to happen.""",Feeling anxious about the future can be overwhelming. It's important to focus on the present moment and challenge negative thought patterns. Have you considered trying grounding techniques or mindfulness to manage these feelings?,Generalized Anxiety Disorder (GAD),"The user describes a sense of dread and impending doom, which are symptoms of GAD. The counselor suggests grounding techniques and mindfulness."
76,"""I've been having difficulty concentrating and making decisions. I feel like my mind is foggy.""","Difficulty concentrating can be frustrating. It might be helpful to explore potential causes, such as stress, anxiety, or sleep disturbances. Have you considered trying techniques like mindfulness or time management strategies?",Difficulty Concentrating,"The user describes difficulty concentrating, which can be related to various factors. The counselor suggests exploring potential causes and trying mindfulness or time management strategies."
77,"""I've been isolating myself from friends and family, and I'm losing interest in activities I used to enjoy.""",Withdrawing from social interactions and losing interest in activities can be signs of depression. It's important to reach out for support and connection. Have you considered talking to a therapist to explore your feelings and develop coping strategies?,Depression/Social Isolation,"The user describes social isolation and loss of interest in activities, which may be symptoms of depression. The counselor encourages the user to seek support and consider therapy."
78,"""I've been experiencing changes in my appetite and sleep patterns, and I have no interest in activities I used to enjoy.""","Changes in appetite, sleep, and interest can be symptoms of depression. It's important to talk to someone about how you're feeling. Have you considered talking to a therapist to explore your symptoms and develop a treatment plan?",Depression,"The user describes symptoms of depression, including changes in appetite, sleep, and interest. The counselor encourages the user to seek professional help."
79,"""I've been feeling a sense of emptiness and lack of purpose in life, despite having achievements.""",Feeling a sense of emptiness can occur even with accomplishments. It's important to explore your values and find meaning in your life. Have you considered volunteering or pursuing hobbies to find fulfillment?,Existential Crisis,"The user describes a sense of emptiness despite career success, which may indicate an existential crisis. The counselor suggests exploring personal values and trying new activities."
